model,dataset,flip_rate,mean_yes_pct,mean_brd,brd_ci_lo,brd_ci_hi,min_brd,mean_acc,acc_ci_lo,acc_ci_hi,debate_brd,baseline_yes_pct,baseline_brd,base_rate
gemini/gemini-2.5-flash,nlsy97,0.04,0.7944380000000001,0.43443799999999994,0.42000000000000004,0.45999999999999996,0.42000000000000004,0.5183460000000001,0.48,0.56,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.05,0.78786,0.42786,0.41000000000000003,0.47,0.41000000000000003,0.517884,0.47,0.55,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.06,0.781884,0.42188400000000004,0.4,0.45999999999999996,0.4,0.518008,0.48,0.56,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.07,0.774702,0.41470200000000007,0.39,0.45000000000000007,0.39,0.5171180000000001,0.47,0.57,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.08,0.7688460000000001,0.408846,0.38,0.45999999999999996,0.38,0.516594,0.46,0.56,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.09,0.7626599999999999,0.40266000000000013,0.37,0.45000000000000007,0.37,0.51642,0.47,0.57,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.1,0.7560140000000001,0.3960139999999999,0.36,0.44000000000000006,0.36,0.515258,0.46,0.58,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.11,0.749374,0.38937400000000005,0.35,0.43000000000000005,0.35,0.515462,0.45,0.57,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.12,0.7429140000000001,0.3829139999999999,0.33999999999999997,0.44000000000000006,0.33999999999999997,0.515038,0.46,0.58,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.13,0.736908,0.3769080000000001,0.32999999999999996,0.43000000000000005,0.32999999999999996,0.514996,0.45,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.14,0.73061,0.37060999999999994,0.32000000000000006,0.42000000000000004,0.32000000000000006,0.51507,0.44,0.58,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.15,0.724344,0.36434400000000006,0.31000000000000005,0.43000000000000005,0.31000000000000005,0.514028,0.45,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.16,0.7176379999999999,0.3576379999999999,0.30000000000000004,0.42000000000000004,0.30000000000000004,0.5141100000000001,0.44,0.58,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.17,0.711576,0.351576,0.29000000000000004,0.41000000000000003,0.29000000000000004,0.513318,0.45,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.18,0.7050559999999999,0.345056,0.30000000000000004,0.4,0.28,0.512864,0.44,0.58,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.19,0.698304,0.33830400000000005,0.29000000000000004,0.41000000000000003,0.27,0.5126280000000001,0.43,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.2,0.6917260000000001,0.33172599999999997,0.28,0.4,0.26,0.5116620000000001,0.44,0.58,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.21,0.6855760000000001,0.32557600000000003,0.27,0.39,0.25,0.511136,0.43,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.22,0.679252,0.31925200000000004,0.26,0.38,0.24,0.5103260000000001,0.42,0.6,0.22407079646017702,0.82,0.45999999999999996,0.36
gemini/gemini-2.5-flash,nlsy97,0.23,0.672924,0.31292400000000004,0.25,0.37,0.22999999999999998,0.5098960000000001,0.43,0.59,0.22407079646017702,0.82,0.45999999999999996,0.36
